epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.6367,1.77518,3.43666,1.23716,0.01657,0.93801,0.04387,0.01698,1.49382,3.45721,1.11399,0.00016,0.00016,0.00016
2,157.165,1.61819,1.91086,1.0996,0.01767,1,0.81795,0.32566,1.12404,3.11154,0.97044,0.00032317,0.00032317,0.00032317
3,230.822,1.33462,1.45393,1.0221,0.01624,0.91914,0.21699,0.08176,1.22036,3.18202,1.04985,0.00046852,0.00046852,0.00046852
4,293.582,1.22642,1.20965,1.00425,0.01762,0.9973,0.11921,0.06558,1.01,2.93681,0.95301,0.00059605,0.00059605,0.00059605
5,347.186,1.22135,1.11127,1.03156,0.01757,0.99461,0.33325,0.1619,1.26628,2.85906,1.04614,0.00070576,0.00070576,0.00070576
6,401.724,1.16992,1.0547,1.02833,0.01767,1,0.70308,0.43808,0.93118,2.62989,0.92822,0.00079765,0.00079765,0.00079765
7,456.066,1.11554,1.02765,1.00157,0.91693,0.68433,0.84444,0.55571,0.97014,2.47484,0.94565,0.00087172,0.00087172,0.00087172
8,510.186,1.11164,0.99694,0.97601,0.98682,0.20187,0.92115,0.69346,0.84023,2.23195,0.89379,0.00092797,0.00092797,0.00092797
9,567.647,1.03162,0.93908,0.94633,0.94523,0.65121,0.9423,0.7209,0.82975,1.88067,0.89306,0.0009664,0.0009664,0.0009664
10,625.417,1.02411,0.90433,0.94392,0.90008,0.94688,0.96619,0.74511,0.82791,1.49395,0.89581,0.00098701,0.00098701,0.00098701
11,683.439,0.94608,1.04812,0.93234,0.93309,0.97731,0.98576,0.73365,0.86935,1.43941,0.89352,0.0009898,0.0009898,0.0009898
12,740.214,0.90934,0.94156,0.94597,0.95792,0.97844,0.99088,0.76796,0.8211,1.39855,0.8893,0.000911,0.000911,0.000911
13,798.967,0.88668,0.94889,0.93485,0.95798,0.9831,0.99181,0.76763,0.82229,1.14552,0.89724,0.000812,0.000812,0.000812
14,856.068,0.83292,0.85861,0.90216,0.9973,0.99734,0.995,0.77383,0.78079,0.89974,0.89027,0.000713,0.000713,0.000713
15,915.004,0.8175,0.84225,0.91072,0.99791,1,0.995,0.79756,0.73106,0.78601,0.87516,0.000614,0.000614,0.000614
16,972.671,0.80416,0.7736,0.88251,0.99727,1,0.995,0.79582,0.72278,0.76179,0.87553,0.000515,0.000515,0.000515
17,1030.11,0.74747,0.75492,0.89503,0.99731,0.99857,0.995,0.80432,0.71022,0.74514,0.87159,0.000416,0.000416,0.000416
18,1087.64,0.73893,0.75013,0.90096,0.99597,1,0.995,0.8122,0.69101,0.73074,0.8638,0.000317,0.000317,0.000317
19,1145.6,0.74829,0.74046,0.87608,0.99984,1,0.995,0.82046,0.67267,0.70588,0.85957,0.000218,0.000218,0.000218
20,1203.76,0.70577,0.75104,0.87458,1,0.99663,0.995,0.82892,0.65874,0.68809,0.85357,0.000119,0.000119,0.000119
